[0] Controller strted
[5] Angle left -0.795505	Distance left 8.209822
[5] Angle left -0.795127	Distance left 8.209237
[5] Angle left -0.794746	Distance left 8.208642
[5] Angle left -0.794360	Distance left 8.208037
[5] Angle left -0.793968	Distance left 8.207423
[5] Angle left -0.793572	Distance left 8.206800
[5] Angle left -0.793170	Distance left 8.206167
[5] Angle left -0.792764	Distance left 8.205524
[5] Angle left -0.792353	Distance left 8.204871
[5] Angle left -0.791937	Distance left 8.204207
[5] Angle left -0.791517	Distance left 8.203533
[5] Angle left -0.791094	Distance left 8.202847
[5] Angle left -0.790667	Distance left 8.202150
[5] Angle left -0.790236	Distance left 8.201441
[5] Angle left -0.789801	Distance left 8.200719
[5] Angle left -0.789363	Distance left 8.199986
[5] Angle left -0.788921	Distance left 8.199240
[5] Angle left -0.788475	Distance left 8.198482
[5] Angle left -0.788026	Distance left 8.197711
[5] Angle left -0.787574	Distance left 8.196929
[5] Angle left -0.787118	Distance left 8.196134
[5] Angle left -0.786658	Distance left 8.195328
[5] Angle left -0.786195	Distance left 8.194510
[5] Angle left -0.785729	Distance left 8.193681
[5] Angle left -0.785260	Distance left 8.192842
[5] Angle left -0.784787	Distance left 8.191991
[5] Angle left -0.784311	Distance left 8.191131
[5] Angle left -0.783831	Distance left 8.190260
[5] Angle left -0.783349	Distance left 8.189380
[5] Angle left -0.782863	Distance left 8.188490
[5] Angle left -0.782374	Distance left 8.187591
[5] Angle left -0.781882	Distance left 8.186682
[5] Angle left -0.781387	Distance left 8.185765
[5] Angle left -0.780888	Distance left 8.184839
[5] Angle left -0.780387	Distance left 8.183904
[5] Angle left -0.779883	Distance left 8.182960
[6] Angle left -0.779376	Distance left 8.182008
[6] Angle left -0.778865	Distance left 8.181047
[6] Angle left -0.778352	Distance left 8.180078
[6] Angle left -0.777837	Distance left 8.179099
[6] Angle left -0.777318	Distance left 8.178112
[6] Angle left -0.776797	Distance left 8.177116
[6] Angle left -0.776273	Distance left 8.176112
[6] Angle left -0.775747	Distance left 8.175099
[6] Angle left -0.775218	Distance left 8.174077
[6] Angle left -0.774686	Distance left 8.173046
[6] Angle left -0.774152	Distance left 8.172006
[6] Angle left -0.773616	Distance left 8.170958
[6] Angle left -0.773077	Distance left 8.169901
[6] Angle left -0.772536	Distance left 8.168836
[6] Angle left -0.771992	Distance left 8.167763
[6] Angle left -0.771446	Distance left 8.166681
[6] Angle left -0.770898	Distance left 8.165591
[6] Angle left -0.770348	Distance left 8.164493
[6] Angle left -0.769795	Distance left 8.163388
[6] Angle left -0.769240	Distance left 8.162275
[6] Angle left -0.768684	Distance left 8.161155
[6] Angle left -0.768125	Distance left 8.160027
[6] Angle left -0.767564	Distance left 8.158893
[6] Angle left -0.767002	Distance left 8.157752
[6] Angle left -0.766437	Distance left 8.156604
[6] Angle left -0.765871	Distance left 8.155449
[6] Angle left -0.765302	Distance left 8.154288
[6] Angle left -0.764732	Distance left 8.153120
[6] Angle left -0.764160	Distance left 8.151946
[6] Angle left -0.763586	Distance left 8.150766
[6] Angle left -0.763011	Distance left 8.149580
[6] Angle left -0.762434	Distance left 8.148388
[6] Angle left -0.761855	Distance left 8.147190
[6] Angle left -0.761274	Distance left 8.145986
[6] Angle left -0.760692	Distance left 8.144777
[6] Angle left -0.760109	Distance left 8.143562
[6] Angle left -0.759524	Distance left 8.142341
[6] Angle left -0.758937	Distance left 8.141114
[6] Angle left -0.758349	Distance left 8.139882
[6] Angle left -0.757759	Distance left 8.138644
[6] Angle left -0.757168	Distance left 8.137401
[6] Angle left -0.756576	Distance left 8.136153
[6] Angle left -0.755982	Distance left 8.134899
[6] Angle left -0.755387	Distance left 8.133640
[6] Angle left -0.754791	Distance left 8.132376
[6] Angle left -0.754193	Distance left 8.131106
[6] Angle left -0.753594	Distance left 8.129832
[6] Angle left -0.752994	Distance left 8.128552
[6] Angle left -0.752393	Distance left 8.127268
[6] Angle left -0.751791	Distance left 8.125978
[6] Angle left -0.751187	Distance left 8.124684
